address,holder_count,is_verified,label,liquidity_usd,fdv,market_cap,price_change_24h,buys_24h,sells_24h,volume_24h,pair_age_days
0x...,0,1,1,,,,,,,,
0x...,0,1,1,,,,,,,,
0x...,0,1,1,,,,,,,,
0xdAC17F958D2ee523a2206206994597C13D831ec,0,1,0,,,,,,,,
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0,1,0,342089.41,3993382956.0,2795445733.0,9.77,1575.0,1778.0,1301706.35,1936.4129940341836
0x514910771AF9Ca656af840dff83E8264EcF986CA,0,1,0,379545.69,11546861258.0,8638208109.0,2.84,861.0,739.0,677807.94,1936.3799913664386
